actor,movies,movie_count
"Chris Hemsworth","Thor: The Dark World ,Thor: Ragnarok ,Thor: Love and Thunder ,Avengers: Endgame,Avengers: Infinity War",5
"Chris Evans","Avengers: Endgame,Avengers: Infinity War,Captain America: The First Avenger,Captain America: The Winter Soldier",4
"Aamir Khan","3 Idiots,PK,Taare Zameen Par",3
"Sanjay Dutt","K.G.F: Chapter 2,Munna Bhai M.B.B.S.",2
"Shah Rukh Khan","Dilwale Dulhania Le Jayenge,Kabhi Khushi Kabhie Gham",2
"Leonardo DiCaprio","Titanic,Inception",2
"Natalie Portman","Thor: The Dark World ,Thor: Love and Thunder ",2
"Tom Hiddleston","Thor: The Dark World ,Thor: Ragnarok ",2
"Amitabh Bachchan","Sholay,Kabhi Khushi Kabhie Gham",2
"Robert Downey Jr.","Avengers: Endgame,Avengers: Infinity War",2
"Anushka Sharma","PK,Sanju",2
"Salman Khan","Bajrangi Bhaijaan,Race 3",2
Kajol,"Dilwale Dulhania Le Jayenge",1
"R. Madhavan","3 Idiots",1
"Sharman Joshi","3 Idiots",1
"Hrithik Roshan","Kabhi Khushi Kabhie Gham",1
"Ranveer Singh","Bajirao Mastani ",1
"Deepika Padukone","Bajirao Mastani ",1
"Tim Robbins","The Shawshank Redemption",1
"Morgan Freeman","The Shawshank Redemption",1
"Ken Watanabe",Inception,1
"Matthew McConaughey",Interstellar,1
"Anne Hathaway",Interstellar,1
"Will Smith","The Pursuit of Happyness",1
"Thandiwe Newton","The Pursuit of Happyness",1
"Russell Crowe",Gladiator,1
"Joaquin Phoenix",Gladiator,1
"Kate Winslet",Titanic,1
"James Stewart","It's a Wonderful Life",1
"Donna Reed","It's a Wonderful Life",1
"Sam Worthington",Avatar,1
"Zoe Saldana",Avatar,1
"Marlon Brando","The Godfather",1
"Al Pacino","The Godfather",1
"Christian Bale","The Dark Knight",1
"Heath Ledger","The Dark Knight",1
"Liam Neeson","Schindler's List",1
"Ben Kingsley","Schindler's List",1
"Sam Neill","Jurassic Park",1
"Laura Dern","Jurassic Park",1
"Song Kang-ho",Parasite,1
"Lee Sun-kyun",Parasite,1
Yash,"K.G.F: Chapter 2",1
"Benedict Cumberbatch","Doctor Strange in the Multiverse of Madness",1
"Kanu Banerjee","Pather Panchali",1
"Karuna Banerjee","Pather Panchali",1
"Darsheel Safary","Taare Zameen Par",1
"Sunil Dutt","Munna Bhai M.B.B.S.",1
"Elizabeth Olsen","Doctor Strange in the Multiverse of Madness",1
"Ranbir Kapoor",Sanju,1
"Allu Arjun","Pushpa: The Rise - Part 1",1
"Fahadh Faasil","Pushpa: The Rise - Part 1",1
"N. T. Rama Rao Jr.",RRR,1
"Ram Charan",RRR,1
Prabhas,"Baahubali: The Beginning",1
"Rana Daggubati","Baahubali: The Beginning",1
"Mithun Chakraborty","The Kashmir Files",1
"Anupam Kher","The Kashmir Files",1
"Jaya Bachchan",Sholay,1
"Nawazuddin Siddiqui","Bajrangi Bhaijaan",1
"Tommy Lee Jones","Captain America: The First Avenger",1
"Sebastian Stan","Captain America: The Winter Soldier",1
"Anil Kapoor","Race 3",1
"Sidharth Malhotra",Shershaah,1
"Kiara Advani",Shershaah,1
