movie,actors
"K.G.F: Chapter 2","Yash,Sanjay Dutt"
"Doctor Strange in the Multiverse of Madness","Benedict Cumberbatch,Elizabeth Olsen"
"Thor: The Dark World ","Chris Hemsworth,Natalie Portman,Tom Hiddleston"
"Thor: Ragnarok ","Chris Hemsworth,Tom Hiddleston"
"Thor: Love and Thunder ","Chris Hemsworth,Natalie Portman"
Sholay,"Amitabh Bachchan,Jaya Bachchan"
"Dilwale Dulhania Le Jayenge","Shah Rukh Khan,Kajol"
"3 Idiots","Aamir Khan,R. Madhavan,Sharman Joshi"
"Kabhi Khushi Kabhie Gham","Amitabh Bachchan,Shah Rukh Khan,Hrithik Roshan"
"Bajirao Mastani ","Ranveer Singh,Deepika Padukone"
"The Shawshank Redemption","Tim Robbins,Morgan Freeman"
Inception,"Leonardo DiCaprio,Ken Watanabe"
Interstellar,"Matthew McConaughey,Anne Hathaway"
"The Pursuit of Happyness","Will Smith,Thandiwe Newton"
Gladiator,"Russell Crowe,Joaquin Phoenix"
Titanic,"Leonardo DiCaprio,Kate Winslet"
"It's a Wonderful Life","James Stewart,Donna Reed"
Avatar,"Sam Worthington,Zoe Saldana"
"The Godfather","Marlon Brando,Al Pacino"
"The Dark Knight","Christian Bale,Heath Ledger"
"Schindler's List","Liam Neeson,Ben Kingsley"
"Jurassic Park","Sam Neill,Laura Dern"
Parasite,"Song Kang-ho,Lee Sun-kyun"
"Avengers: Endgame","Chris Hemsworth,Robert Downey Jr.,Chris Evans"
"Avengers: Infinity War","Chris Hemsworth,Robert Downey Jr.,Chris Evans"
"Pather Panchali","Kanu Banerjee,Karuna Banerjee"
"Taare Zameen Par","Aamir Khan,Darsheel Safary"
"Munna Bhai M.B.B.S.","Sanjay Dutt,Sunil Dutt"
PK,"Aamir Khan,Anushka Sharma"
Sanju,"Anushka Sharma,Ranbir Kapoor"
"Pushpa: The Rise - Part 1","Allu Arjun,Fahadh Faasil"
RRR,"N. T. Rama Rao Jr.,Ram Charan"
"Baahubali: The Beginning","Prabhas,Rana Daggubati"
"The Kashmir Files","Mithun Chakraborty,Anupam Kher"
"Bajrangi Bhaijaan","Salman Khan,Nawazuddin Siddiqui"
"Captain America: The First Avenger","Chris Evans,Tommy Lee Jones"
"Captain America: The Winter Soldier","Chris Evans,Sebastian Stan"
"Race 3","Salman Khan,Anil Kapoor"
Shershaah,"Sidharth Malhotra,Kiara Advani"
