title,industry
"K.G.F: Chapter 2",Bollywood
"Doctor Strange in the Multiverse of Madness",Hollywood
"Thor: The Dark World ",Hollywood
"Thor: Ragnarok ",Hollywood
"Thor: Love and Thunder ",Hollywood
Sholay,Bollywood
"Dilwale Dulhania Le Jayenge",Bollywood
"3 Idiots",Bollywood
"Kabhi Khushi Kabhie Gham",Bollywood
"Bajirao Mastani ",Bollywood
"The Shawshank Redemption",Hollywood
Inception,Hollywood
Interstellar,Hollywood
"The Pursuit of Happyness",Hollywood
Gladiator,Hollywood
Titanic,Hollywood
"It's a Wonderful Life",Hollywood
Avatar,Hollywood
"The Godfather",Hollywood
"The Dark Knight",Hollywood
"Schindler's List",Hollywood
"Jurassic Park",Hollywood
Parasite,Hollywood
"Avengers: Endgame",Hollywood
"Avengers: Infinity War",Hollywood
"Pather Panchali",Bollywood
"Taare Zameen Par",Bollywood
"Munna Bhai M.B.B.S.",Bollywood
PK,Bollywood
Sanju,Bollywood
"Pushpa: The Rise - Part 1",Bollywood
RRR,Bollywood
"Baahubali: The Beginning",Bollywood
"The Kashmir Files",Bollywood
"Bajrangi Bhaijaan",Bollywood
"Captain America: The First Avenger",Hollywood
"Captain America: The Winter Soldier",Hollywood
"Race 3",Bollywood
Shershaah,Bollywood
