movie_id,title,industry,release_year,imdb_rating,studio,language_id
101,"K.G.F: Chapter 2",Bollywood,2022,8.4,"Hombale Films",3
106,Sholay,Bollywood,1975,8.1,"United Producers",1
107,"Dilwale Dulhania Le Jayenge",Bollywood,1995,8.0,"Yash Raj Films",1
108,"3 Idiots",Bollywood,2009,8.4,"Vinod Chopra Films",1
109,"Kabhi Khushi Kabhie Gham",Bollywood,2001,7.4,"Dharma Productions",1
110,"Bajirao Mastani ",Bollywood,2015,7.2,,1
127,"Pather Panchali",Bollywood,1955,8.3,"Government of West Bengal",7
128,"Taare Zameen Par",Bollywood,2007,8.3,,1
129,"Munna Bhai M.B.B.S.",Bollywood,2003,8.1,"Vinod Chopra Productions",1
130,PK,Bollywood,2014,8.1,"Vinod Chopra Films",1
131,Sanju,Bollywood,2018,NULL,"Vinod Chopra Films",1
132,"Pushpa: The Rise - Part 1",Bollywood,2021,7.6,"Mythri Movie Makers",2
133,RRR,Bollywood,2022,8.0,"DVV Entertainment",2
134,"Baahubali: The Beginning",Bollywood,2015,8.0,"Arka Media Works",2
135,"The Kashmir Files",Bollywood,2022,8.3,"Zee Studios",1
136,"Bajrangi Bhaijaan",Bollywood,2015,8.1,"Salman Khan Films",1
139,"Race 3",Bollywood,2018,1.9,"Salman Khan Films",1
140,Shershaah,Bollywood,2021,8.4,"Dharma Productions",1
